Date,Open,High,Low,Close,Adj Close,Volume
2005-08-12,12400.000000,12400.000000,12200.000000,12250.000000,7727.080566,859500
2005-08-15,12150.000000,12150.000000,11800.000000,11800.000000,7443.229492,1752500
2005-08-16,11800.000000,11900.000000,11800.000000,11850.000000,7474.768066,727000
2005-08-18,11850.000000,11950.000000,11850.000000,11900.000000,7506.307129,1080000
2005-08-19,11900.000000,11900.000000,11750.000000,11750.000000,7411.690430,675000
2005-08-22,11700.000000,11700.000000,11300.000000,11400.000000,7190.916504,939500
2005-08-23,11400.000000,11450.000000,10900.000000,11000.000000,6938.603027,891500
2005-08-24,10800.000000,10800.000000,10150.000000,10200.000000,6433.978516,2862000
2005-08-25,10200.000000,10550.000000,10200.000000,10450.000000,6591.673828,2450000
2005-08-26,10450.000000,10550.000000,10450.000000,10500.000000,6623.212891,2139000
2005-08-29,10450.000000,10450.000000,9850.000000,10200.000000,6433.978516,6105500
2005-08-30,10100.000000,10900.000000,9600.000000,10800.000000,6812.446777,1516500
2005-08-31,10900.000000,11150.000000,10600.000000,11000.000000,6938.603027,499500
2005-09-01,10950.000000,11000.000000,10850.000000,11000.000000,6938.603027,78000
2005-09-05,11100.000000,11200.000000,10750.000000,10750.000000,6780.907715,204000
2005-09-06,10800.000000,10850.000000,10800.000000,10850.000000,6843.987305,187500
2005-09-07,11000.000000,11000.000000,10900.000000,10950.000000,6907.063965,77000
2005-09-08,11000.000000,11100.000000,11000.000000,11000.000000,6938.603027,313500
2005-09-09,11150.000000,11200.000000,11050.000000,11050.000000,6970.143555,313500
2005-09-12,11200.000000,11500.000000,11200.000000,11400.000000,7190.916504,510500
2005-09-13,11300.000000,11400.000000,11150.000000,11400.000000,7190.916504,460000
2005-09-14,11300.000000,11400.000000,10900.000000,10900.000000,6875.527344,156500
2005-09-15,10750.000000,10750.000000,10600.000000,10600.000000,6686.290039,237500
2005-09-16,10600.000000,10600.000000,10300.000000,10300.000000,6497.054199,484500
2005-09-19,10400.000000,10550.000000,10400.000000,10550.000000,6654.751953,604500
2005-09-20,10550.000000,10700.000000,10400.000000,10600.000000,6686.290039,833500
2005-09-21,10700.000000,11250.000000,10700.000000,11200.000000,7064.760254,921000
2005-09-22,10950.000000,10950.000000,10500.000000,10700.000000,6749.369629,388000
2005-09-23,10850.000000,11000.000000,10700.000000,10750.000000,6780.907715,116000
2005-09-26,10750.000000,10950.000000,10750.000000,10800.000000,6812.446777,315000
2005-09-27,10800.000000,10850.000000,10750.000000,10750.000000,6780.907715,321000
2005-09-28,10900.000000,10900.000000,10350.000000,10500.000000,6623.212891,429000
2005-09-29,10750.000000,10750.000000,10450.000000,10750.000000,6780.907715,4
2005-09-30,10900.000000,10900.000000,10750.000000,10900.000000,6875.527344,4
2005-10-03,11000.000000,11150.000000,10700.000000,11000.000000,6938.603027,4
2005-10-04,11250.000000,11300.000000,11100.000000,11250.000000,7096.298828,4
2005-10-05,11300.000000,11350.000000,11100.000000,11300.000000,7127.838867,860500
2005-10-06,11000.000000,11200.000000,11000.000000,11000.000000,6938.603027,4
2005-10-07,11050.000000,11100.000000,10950.000000,11050.000000,6970.143555,4
2005-10-10,11050.000000,11050.000000,11000.000000,11050.000000,6970.143555,435500
2005-10-11,11000.000000,11050.000000,10950.000000,11000.000000,6938.603027,596500
2005-10-12,11000.000000,11050.000000,11000.000000,11000.000000,6938.603027,1358500
2005-10-13,10800.000000,10900.000000,10800.000000,10800.000000,6812.446777,4
2005-10-14,10400.000000,10800.000000,10250.000000,10400.000000,6560.133789,4
2005-10-17,10500.000000,10600.000000,10400.000000,10400.000000,6560.133789,361000
2005-10-18,10200.000000,10500.000000,10150.000000,10200.000000,6433.978516,4
2005-10-19,10200.000000,10350.000000,10150.000000,10200.000000,6433.978516,4
2005-10-20,10350.000000,10350.000000,9900.000000,9900.000000,6244.743164,1887000
2005-10-21,9750.000000,10150.000000,9750.000000,9750.000000,6150.125488,4
2005-10-24,9800.000000,9900.000000,9700.000000,9800.000000,6181.664551,4
2005-10-25,9850.000000,9950.000000,9700.000000,9750.000000,6150.125488,582000
2005-10-26,9800.000000,9900.000000,9700.000000,9800.000000,6181.664551,4
2005-10-27,9950.000000,10100.000000,9900.000000,9950.000000,6276.282227,4
2005-10-28,10050.000000,10050.000000,9900.000000,10050.000000,6339.360352,4
2005-10-31,10200.000000,10200.000000,10000.000000,10200.000000,6433.978516,4
2005-11-01,10350.000000,10400.000000,10250.000000,10350.000000,6528.594727,4
2005-11-07,10350.000000,10350.000000,10350.000000,10350.000000,6528.594727,0
2005-11-08,10350.000000,10350.000000,10350.000000,10350.000000,6528.594727,0
2005-11-09,10450.000000,10450.000000,10300.000000,10400.000000,6560.133789,2537500
2005-11-10,10400.000000,10450.000000,10400.000000,10400.000000,6560.133789,509000
2005-11-11,10050.000000,10400.000000,9900.000000,10050.000000,6339.360352,4
2005-11-14,10200.000000,10250.000000,10000.000000,10200.000000,6433.978516,4
2005-11-15,9900.000000,10250.000000,9900.000000,9900.000000,6244.743164,4
2005-11-16,10100.000000,10150.000000,10000.000000,10100.000000,6370.899902,4
2005-11-17,10350.000000,10350.000000,10100.000000,10350.000000,6528.594727,4
2005-11-18,10700.000000,10700.000000,10350.000000,10700.000000,6749.369629,4
2005-11-21,10750.000000,10850.000000,10700.000000,10750.000000,6780.907715,4
2005-11-22,10700.000000,10750.000000,10700.000000,10700.000000,6749.369629,4
2005-11-23,10700.000000,10700.000000,10550.000000,10700.000000,6749.369629,4
2005-11-24,10800.000000,10850.000000,10700.000000,10800.000000,6812.446777,4
2005-11-25,10750.000000,10800.000000,10700.000000,10750.000000,6780.907715,4
2005-11-28,10650.000000,10700.000000,10650.000000,10650.000000,6717.828125,4
2005-11-29,10500.000000,10650.000000,10450.000000,10500.000000,6623.212891,4
2005-11-30,10950.000000,10950.000000,10500.000000,10950.000000,6907.063965,4
2005-12-01,10850.000000,10950.000000,10800.000000,10850.000000,6843.987305,4
2005-12-02,11000.000000,11000.000000,10850.000000,11000.000000,6938.603027,4
2005-12-05,10850.000000,11000.000000,10850.000000,10850.000000,6843.987305,4
2005-12-06,11000.000000,11050.000000,10850.000000,11000.000000,6938.603027,4
2005-12-07,11100.000000,11200.000000,11050.000000,11100.000000,7001.682617,417000
2005-12-08,11050.000000,11100.000000,11000.000000,11050.000000,6970.143555,4
2005-12-09,10950.000000,11050.000000,10850.000000,10950.000000,6907.063965,284500
2005-12-12,11100.000000,11200.000000,11050.000000,11100.000000,7001.682617,4
2005-12-13,11250.000000,11350.000000,11100.000000,11250.000000,7096.298828,4
2005-12-14,11250.000000,11300.000000,11200.000000,11250.000000,7096.298828,1372500
2005-12-15,10950.000000,11250.000000,10950.000000,10950.000000,6907.063965,4
2005-12-16,10750.000000,10950.000000,10750.000000,10750.000000,6780.907715,4
2005-12-19,11050.000000,11050.000000,10700.000000,11050.000000,6970.143555,4
2005-12-20,11050.000000,11200.000000,11050.000000,11050.000000,6970.143555,4
2005-12-21,11600.000000,11600.000000,11050.000000,11600.000000,7317.073730,4
2005-12-22,11550.000000,11850.000000,11550.000000,11600.000000,7317.073730,267000
2005-12-23,11500.000000,11550.000000,11500.000000,11500.000000,7253.994629,4
2005-12-26,11500.000000,11500.000000,11500.000000,11500.000000,7253.994629,0
2005-12-27,11550.000000,11750.000000,11500.000000,11550.000000,7285.533691,4
2005-12-28,11700.000000,11700.000000,11550.000000,11700.000000,7380.151855,4
2005-12-29,11650.000000,11700.000000,11550.000000,11650.000000,7348.610840,4
2005-12-30,11650.000000,11650.000000,11650.000000,11650.000000,7348.610840,0
2006-01-02,11500.000000,11650.000000,11500.000000,11500.000000,7253.994629,7500
2006-01-03,11500.000000,11700.000000,11500.000000,11500.000000,7253.994629,253000
2006-01-04,11850.000000,11850.000000,11700.000000,11850.000000,7474.768066,4
2006-01-05,12200.000000,12200.000000,11900.000000,12200.000000,7695.541992,4
2006-01-06,12350.000000,12450.000000,12150.000000,12350.000000,7790.160156,4
2006-01-09,12450.000000,12550.000000,12350.000000,12450.000000,7853.237793,4
2006-01-10,12450.000000,12450.000000,12450.000000,12450.000000,7853.237793,0
2006-01-11,12250.000000,12450.000000,12150.000000,12250.000000,7727.080566,4
2006-01-12,12150.000000,12300.000000,12150.000000,12150.000000,7664.003418,968000
2006-01-13,12100.000000,12200.000000,12100.000000,12100.000000,7632.463379,315000
2006-01-16,11750.000000,12100.000000,11600.000000,11750.000000,7411.690430,4
2006-01-17,11500.000000,11650.000000,11450.000000,11500.000000,7253.994629,4
2006-01-18,11150.000000,11350.000000,11100.000000,11150.000000,7033.221191,4
2006-01-19,11100.000000,11250.000000,11100.000000,11100.000000,7001.682617,4
2006-01-20,11350.000000,11350.000000,11100.000000,11350.000000,7159.377930,4
2006-01-23,11150.000000,11150.000000,11000.000000,11150.000000,7033.221191,499500
2006-01-24,11250.000000,11300.000000,11200.000000,11250.000000,7096.298828,4
2006-01-25,11200.000000,11350.000000,11200.000000,11200.000000,7064.760254,4
2006-01-26,10900.000000,11200.000000,10800.000000,10900.000000,6875.527344,4
2006-01-27,10650.000000,11000.000000,10600.000000,10650.000000,6717.828125,4
2006-01-30,10800.000000,10800.000000,10650.000000,10800.000000,6812.446777,4
2006-01-31,10800.000000,10800.000000,10800.000000,10800.000000,6812.446777,0
2006-02-01,10700.000000,10850.000000,10700.000000,10700.000000,6749.369629,4
2006-02-02,10850.000000,10900.000000,10800.000000,10850.000000,6843.987305,4
2006-02-03,10800.000000,10850.000000,10700.000000,10850.000000,6843.987305,478000
2006-02-06,10900.000000,10950.000000,10800.000000,10800.000000,6812.446777,262500
2006-02-07,10800.000000,10850.000000,10750.000000,10800.000000,6812.446777,4
2006-02-08,10700.000000,10800.000000,10650.000000,10700.000000,6749.369629,4
2006-02-09,10450.000000,10800.000000,10400.000000,10450.000000,6591.673828,4
2006-02-10,10450.000000,10550.000000,10450.000000,10450.000000,6591.673828,928500
2006-02-13,10500.000000,10650.000000,10400.000000,10500.000000,6623.212891,4
2006-02-14,10600.000000,10750.000000,10500.000000,10600.000000,6686.290039,4
2006-02-15,10550.000000,10650.000000,10550.000000,10550.000000,6654.751953,770000
2006-02-16,10700.000000,10700.000000,10550.000000,10700.000000,6749.369629,4
2006-02-17,10550.000000,11250.000000,10550.000000,11100.000000,7001.682617,4012500
2006-02-20,10900.000000,11050.000000,10900.000000,10900.000000,6875.527344,4
2006-02-21,10700.000000,10900.000000,10700.000000,10700.000000,6749.369629,4
2006-02-22,10900.000000,11200.000000,10700.000000,10900.000000,6875.527344,4
2006-02-23,11050.000000,11050.000000,10900.000000,11050.000000,6970.143555,4
2006-02-24,11000.000000,11000.000000,10900.000000,11000.000000,6938.603027,145000
2006-02-27,11200.000000,11200.000000,11050.000000,11200.000000,7064.760254,4
2006-02-28,11000.000000,11150.000000,11000.000000,11000.000000,6938.603027,4
2006-03-01,11000.000000,11000.000000,10900.000000,11000.000000,6938.603027,4
2006-03-02,11150.000000,11150.000000,11000.000000,11150.000000,7033.221191,4
2006-03-03,11300.000000,11400.000000,11150.000000,11300.000000,7127.838867,4
2006-03-06,11350.000000,11350.000000,10950.000000,11100.000000,7001.682617,347000
2006-03-07,11000.000000,11150.000000,11000.000000,11000.000000,6938.603027,4
2006-03-08,10650.000000,10950.000000,10450.000000,10650.000000,6717.828125,4
2006-03-09,10650.000000,10700.000000,10450.000000,10500.000000,6623.212891,218000
2006-03-10,10400.000000,10550.000000,10400.000000,10400.000000,6560.133789,4
2006-03-13,10400.000000,10550.000000,10400.000000,10400.000000,6560.133789,4
2006-03-14,10400.000000,10500.000000,10400.000000,10450.000000,6591.673828,540500
2006-03-15,10100.000000,10500.000000,10050.000000,10100.000000,6370.899902,4
2006-03-16,10200.000000,10450.000000,10200.000000,10450.000000,6591.673828,411500
2006-03-17,10500.000000,10600.000000,10400.000000,10500.000000,6623.212891,4
2006-03-20,10500.000000,10600.000000,10450.000000,10500.000000,6623.212891,4
2006-03-21,10500.000000,10500.000000,10400.000000,10400.000000,6560.133789,4
2006-03-22,10200.000000,10350.000000,10200.000000,10200.000000,6433.978516,4
2006-03-23,10200.000000,10350.000000,10200.000000,10250.000000,6465.516113,4
2006-03-24,10200.000000,10350.000000,10150.000000,10200.000000,6433.978516,4
2006-03-27,10150.000000,10200.000000,10150.000000,10150.000000,6402.439453,4
2006-03-28,10150.000000,10200.000000,10150.000000,10150.000000,6402.439453,368500
2006-03-29,10500.000000,10500.000000,10150.000000,10500.000000,6623.212891,4
2006-03-30,10500.000000,10500.000000,10500.000000,10500.000000,6623.212891,0
2006-03-31,10500.000000,10500.000000,10500.000000,10500.000000,6623.212891,0
2006-04-03,10900.000000,10900.000000,10500.000000,10900.000000,6875.527344,4
2006-04-04,10950.000000,11000.000000,10900.000000,10950.000000,6907.063965,4
2006-04-05,10800.000000,10900.000000,10750.000000,10800.000000,6812.446777,4
2006-04-06,10800.000000,10800.000000,10650.000000,10800.000000,6812.446777,4
2006-04-07,10700.000000,10800.000000,10650.000000,10700.000000,6749.369629,81000
2006-04-10,10700.000000,10700.000000,10700.000000,10700.000000,6749.369629,0
2006-04-11,10500.000000,10700.000000,10500.000000,10500.000000,6623.212891,4
2006-04-12,10700.000000,10700.000000,10400.000000,10700.000000,6749.369629,4
2006-04-13,10850.000000,10900.000000,10800.000000,10850.000000,6843.987305,4
2006-04-14,10850.000000,10850.000000,10850.000000,10850.000000,6843.987305,0
2006-04-17,10900.000000,10950.000000,10800.000000,10900.000000,6875.527344,4
2006-04-18,10900.000000,11100.000000,10900.000000,10900.000000,6875.527344,4
2006-04-19,11000.000000,11000.000000,10900.000000,11000.000000,6938.603027,1145500
2006-04-20,11050.000000,11600.000000,11000.000000,11050.000000,6970.143555,4
2006-04-21,11050.000000,11350.000000,11000.000000,11050.000000,6970.143555,4
2006-04-24,11050.000000,11000.000000,10750.000000,10850.000000,6843.987305,4
2006-04-25,11050.000000,11050.000000,10850.000000,11050.000000,6970.143555,4
2006-04-26,10950.000000,11200.000000,10950.000000,10950.000000,6907.063965,4
2006-04-27,10950.000000,11200.000000,10350.000000,10350.000000,6528.594727,3887000
2006-04-28,10550.000000,10650.000000,10300.000000,10550.000000,6654.751953,4
2006-05-01,10550.000000,10600.000000,10450.000000,10550.000000,6654.751953,335500
2006-05-02,10550.000000,10800.000000,10600.000000,10650.000000,6717.828125,4
2006-05-03,10500.000000,10650.000000,10450.000000,10500.000000,6623.212891,4
2006-05-04,10750.000000,10850.000000,10550.000000,10750.000000,6780.907715,4
2006-05-05,10750.000000,10850.000000,10750.000000,10800.000000,6812.446777,254000
2006-05-08,10900.000000,10950.000000,10700.000000,10900.000000,6875.527344,460500
2006-05-09,11100.000000,11250.000000,10850.000000,11100.000000,7001.682617,4
2006-05-10,11000.000000,11100.000000,10900.000000,11000.000000,6938.603027,4
2006-05-11,11300.000000,11400.000000,10900.000000,11300.000000,7127.838867,4
2006-05-12,10900.000000,11200.000000,10900.000000,10900.000000,6875.527344,4
2006-05-15,10800.000000,10800.000000,10250.000000,10250.000000,6465.516113,2488500
2006-05-16,10150.000000,10300.000000,10050.000000,10150.000000,6402.439453,4
2006-05-17,10150.000000,10500.000000,10100.000000,10150.000000,6402.439453,4
2006-05-18,9950.000000,10000.000000,9800.000000,9900.000000,6244.743164,812000
2006-05-19,10000.000000,10000.000000,9650.000000,9700.000000,6118.585449,1731000
2006-05-22,9550.000000,9800.000000,9550.000000,9550.000000,6023.970215,4
2006-05-23,9500.000000,9600.000000,9250.000000,9500.000000,5992.430664,4
2006-05-24,9200.000000,9550.000000,9200.000000,9200.000000,5803.196289,4
2006-05-25,9200.000000,9200.000000,9200.000000,9200.000000,5803.196289,0
